id_consumicion;id_bar;id_cliente;fecha_hora
CONS-2014-0022;4;14;29/07/2014 14:44
CONS-2014-0023;36;18;11/08/2014 21:52
CONS-2014-0024;21;77;16/08/2014 18:09
CONS-2014-0025;17;86;07/09/2014 21:58
CONS-2014-0026;46;49;15/09/2014 7:23
CONS-2014-0027;;58;25/09/2014 5:03
CONS-2014-0028;3;14;09/10/2014 17:46
CONS-2014-0029;47;42;07/11/2014 12:44
CONS-2014-0030;48;90;15/11/2014 0:07
CONS-2014-0031;2;25;25/12/2014 14:38
CONS-2015-0001;24;10;02/01/2015 1:32
CONS-2015-0002;20;86;07/01/2015 8:17
CONS-2015-0003;36;66;22/01/2015 10:12
CONS-2015-0004;51;33;25/01/2015 3:29
CONS-2015-0005;41;38;04/02/2015 2:04
CONS-2015-0006;26;25;22/02/2015 23:58
CONS-2015-0007;12;71;06/03/2015 14:29
CONS-2015-0008;7;45;08/03/2015 17:58
CONS-2015-0009;28;16;26/03/2015 4:36
CONS-2015-0010;24;41;05/04/2015 8:18
CONS-2015-0011;38;;21/04/2015 18:13
CONS-2015-0012;7;53;28/04/2015 1:33
CONS-2015-0013;19;3;30/04/2015 2:32
CONS-2015-0014;28;91;14/05/2015 10:04
CONS-2015-0015;51;46;05/06/2015 14:10
CONS-2015-0016;;47;12/06/2015 20:18
CONS-2015-0017;44;16;07/07/2015 18:25
CONS-2015-0018;49;89;15/07/2015 12:11
CONS-2015-0019;31;62;26/07/2015 17:58
CONS-2015-0020;50;37;03/08/2015 19:24
CONS-2015-0021;40;87;10/08/2015 8:44
CONS-2015-0022;1;39;01/09/2015 16:34
CONS-2015-0023;42;96;05/09/2015 6:47
CONS-2015-0024;35;23;11/09/2015 12:04
CONS-2015-0025;41;10;27/09/2015 9:31
CONS-2015-0026;3;14;07/10/2015 7:05
CONS-2015-0027;18;96;09/10/2015 17:53
CONS-2015-0028;25;77;10/10/2015 6:43
CONS-2015-0029;28;74;20/10/2015 22:45
CONS-2015-0030;10;28;01/11/2015 11:42
CONS-2015-0031;22;78;20/11/2015 3:04
CONS-2015-0032;14;24;08/12/2015 20:04
CONS-2015-0033;50;40;15/12/2015 3:11
CONS-2016-0001;31;48;11/01/2016 16:45
CONS-2016-0002;10;32;16/01/2016 5:20
CONS-2016-0003;34;70;05/02/2016 8:34
CONS-2016-0004;46;89;21/02/2016 18:40
CONS-2016-0005;2;41;24/02/2016 22:15
CONS-2016-0006;12;58;05/03/2016 14:06
CONS-2016-0007;23;46;08/03/2016 13:19
CONS-2016-0008;39;5;26/03/2016 4:41
CONS-2016-0009;18;34;27/03/2016 18:58
CONS-2016-0010;34;53;03/04/2016 3:30
CONS-2016-0011;17;81;16/04/2016 17:02
CONS-2016-0012;26;51;03/05/2016 4:59
CONS-2016-0013;37;35;09/05/2016 11:17
CONS-2016-0014;49;3;21/05/2016 12:05
CONS-2016-0015;14;67;01/06/2016 7:54
CONS-2016-0016;43;100;16/06/2016 22:19
CONS-2016-0017;47;31;17/06/2016 3:33
CONS-2016-0018;5;60;22/06/2016 0:28
CONS-2016-0019;45;84;03/07/2016 3:56
CONS-2016-0020;;16;09/07/2016 8:09
CONS-2016-0021;28;90;18/07/2016 5:08
CONS-2016-0022;32;87;06/08/2016 12:26
CONS-2016-0023;4;40;11/08/2016 11:37
CONS-2016-0024;40;13;11/08/2016 21:08
CONS-2016-0025;11;46;21/08/2016 7:36
CONS-2016-0026;15;4;26/08/2016 3:43
CONS-2016-0027;18;50;28/08/2016 13:46
CONS-2016-0028;35;36;06/09/2016 7:38
CONS-2016-0029;26;71;18/09/2016 6:29
CONS-2016-0030;45;42;12/10/2016 19:41
CONS-2016-0031;48;72;28/10/2016 1:09
CONS-2016-0032;18;18;05/11/2016 12:08
CONS-2016-0033;3;77;06/11/2016 17:03
CONS-2016-0034;16;99;17/12/2016 14:24
CONS-2016-0035;1;41;29/12/2016 9:53
CONS-2017-0001;19;2;15/01/2017 16:17
CONS-2017-0002;37;86;02/02/2017 19:52
CONS-2017-0003;29;14;14/02/2017 9:38
CONS-2017-0004;10;76;09/03/2017 5:23
CONS-2017-0005;13;23;26/03/2017 1:31
CONS-2017-0006;17;66;29/03/2017 22:51
CONS-2017-0007;41;26;06/04/2017 7:26
CONS-2017-0008;51;;08/04/2017 10:46
CONS-2017-0009;5;81;17/04/2017 0:33
CONS-2017-0010;45;38;18/04/2017 21:15
CONS-2017-0011;25;28;28/04/2017 16:59
CONS-2017-0012;39;68;10/05/2017 20:16
CONS-2017-0013;44;42;12/05/2017 2:24
CONS-2017-0014;27;62;19/05/2017 21:28
CONS-2017-0015;20;2;28/05/2017 1:27
CONS-2017-0016;15;96;03/06/2017 14:07
CONS-2017-0017;3;29;15/06/2017 21:33
CONS-2017-0018;28;93;02/07/2017 6:36
CONS-2017-0019;10;4;21/07/2017 20:58
CONS-2017-0020;24;14;26/07/2017 17:22
CONS-2017-0021;43;40;31/07/2017 13:20
CONS-2017-0022;21;98;06/08/2017 9:50
CONS-2017-0023;33;97;10/08/2017 22:15
CONS-2017-0024;48;21;14/08/2017 16:09
CONS-2017-0025;45;10;27/08/2017 22:44
CONS-2017-0026;41;28;30/08/2017 10:09
CONS-2017-0027;7;94;05/09/2017 4:56
CONS-2017-0028;34;6;15/09/2017 7:35
CONS-2017-0029;15;22;22/09/2017 17:22
CONS-2017-0030;2;52;29/09/2017 5:12
CONS-2017-0031;31;60;14/10/2017 11:14
CONS-2017-0032;16;15;05/11/2017 14:02
CONS-2017-0033;44;16;18/11/2017 5:56
CONS-2017-0034;25;31;07/12/2017 20:09
CONS-2018-0001;14;15;08/01/2018 5:58
CONS-2018-0002;20;8;19/01/2018 3:39
CONS-2018-0003;8;36;05/02/2018 22:52
CONS-2018-0004;30;38;07/02/2018 19:51
CONS-2018-0005;23;52;27/02/2018 14:10
CONS-2018-0006;44;;03/03/2018 7:24
CONS-2018-0007;13;74;16/03/2018 4:03
CONS-2018-0008;29;3;28/03/2018 16:28
CONS-2018-0009;35;42;13/04/2018 3:43
CONS-2018-0010;6;96;23/04/2018 23:42
CONS-2018-0011;;25;30/04/2018 2:50
CONS-2018-0012;17;28;02/05/2018 5:49
CONS-2018-0013;1;30;05/05/2018 8:46
CONS-2018-0014;23;62;09/05/2018 16:39
CONS-2018-0015;16;85;11/05/2018 2:34
CONS-2018-0016;7;38;05/06/2018 14:53
CONS-2018-0017;11;77;11/06/2018 21:14
CONS-2018-0018;9;20;04/07/2018 16:35
CONS-2018-0019;33;;05/07/2018 15:45
CONS-2018-0020;42;81;14/07/2018 19:31
CONS-2018-0021;38;18;25/07/2018 14:23
CONS-2018-0022;26;43;07/08/2018 0:53
CONS-2018-0023;14;60;28/08/2018 13:35
CONS-2018-0024;2;97;05/09/2018 20:30
CONS-2018-0025;4;63;26/09/2018 16:03
CONS-2018-0026;18;55;02/10/2018 20:12
CONS-2018-0027;21;10;19/10/2018 9:59
CONS-2018-0028;28;69;07/11/2018 22:53
CONS-2018-0029;31;37;16/11/2018 4:26
CONS-2018-0030;49;89;03/12/2018 15:22
CONS-2018-0031;24;46;11/12/2018 11:19
CONS-2019-0001;2;40;03/01/2019 2:05
CONS-2019-0002;9;49;20/01/2019 21:57
CONS-2019-0003;25;72;22/01/2019 17:44
CONS-2019-0004;6;11;06/02/2019 5:22
CONS-2019-0005;46;21;24/02/2019 0:48
CONS-2019-0006;21;6;12/03/2019 17:25
CONS-2019-0007;3;14;23/03/2019 14:38
CONS-2019-0008;19;9;09/04/2019 9:52
CONS-2019-0009;24;5;14/04/2019 18:55
CONS-2019-0010;32;82;25/04/2019 20:05
CONS-2019-0011;47;48;14/05/2019 23:20
CONS-2019-0012;38;55;02/06/2019 16:49
CONS-2019-0013;2;51;04/06/2019 1:57
CONS-2019-0014;13;19;26/06/2019 18:15
CONS-2019-0015;;43;29/06/2019 10:54
CONS-2019-0016;51;72;07/07/2019 4:33
CONS-2019-0017;46;1;07/07/2019 10:22
CONS-2019-0018;47;70;19/07/2019 8:50
CONS-2019-0019;10;93;11/08/2019 5:37
CONS-2019-0020;30;9;21/08/2019 8:11
CONS-2019-0021;18;87;22/08/2019 17:43
CONS-2019-0022;8;60;03/09/2019 14:46
CONS-2019-0023;11;64;19/09/2019 13:18
CONS-2019-0024;43;67;27/09/2019 17:21
CONS-2019-0025;45;29;07/10/2019 4:43
CONS-2019-0026;15;4;24/10/2019 16:44
CONS-2019-0027;50;12;08/11/2019 15:26
CONS-2019-0028;13;35;28/11/2019 21:59
CONS-2019-0029;14;63;09/12/2019 2:57
CONS-2019-0030;6;92;18/12/2019 17:44
CONS-2019-0031;21;50;31/12/2019 12:24
CONS-2020-0001;36;78;06/01/2020 9:04
CONS-2020-0002;2;82;23/01/2020 5:13
CONS-2020-0003;4;56;15/02/2020 18:38
CONS-2020-0004;40;33;05/03/2020 19:40
CONS-2020-0005;17;76;21/03/2020 23:53
CONS-2020-0006;23;2;06/04/2020 14:04
CONS-2020-0007;19;82;08/04/2020 21:49
CONS-2020-0008;3;9;17/04/2020 23:13
CONS-2020-0009;16;52;06/05/2020 0:10
CONS-2020-0010;9;42;09/05/2020 16:38
CONS-2020-0011;;25;21/05/2020 21:07
CONS-2020-0012;41;45;09/06/2020 16:58
CONS-2020-0013;49;89;24/06/2020 9:01
CONS-2020-0014;37;39;03/07/2020 8:18
CONS-2020-0015;24;40;14/07/2020 1:35
CONS-2020-0016;38;57;20/07/2020 6:28
CONS-2020-0017;45;22;01/08/2020 22:17
CONS-2020-0018;46;82;03/08/2020 4:55
CONS-2020-0019;11;39;09/08/2020 17:42
CONS-2020-0020;18;13;30/08/2020 3:32
CONS-2020-0021;48;31;10/09/2020 10:17
CONS-2020-0022;6;66;15/09/2020 21:19
CONS-2020-0023;22;75;25/09/2020 11:56
CONS-2020-0024;39;82;01/10/2020 0:10
CONS-2020-0025;23;25;17/10/2020 0:42
CONS-2020-0026;16;1;31/10/2020 19:49
CONS-2020-0027;30;;03/11/2020 14:36
CONS-2020-0028;9;78;15/11/2020 0:28
CONS-2020-0029;46;35;26/11/2020 12:10
CONS-2020-0030;26;56;04/12/2020 23:26
CONS-2020-0031;48;17;24/12/2020 8:01
CONS-2021-0001;16;91;09/01/2021 0:50
CONS-2021-0002;14;70;12/01/2021 2:20
CONS-2021-0003;13;29;26/01/2021 10:13
CONS-2021-0004;39;81;03/02/2021 7:44
CONS-2021-0005;20;82;10/02/2021 4:52
CONS-2021-0006;40;;14/02/2021 13:11
CONS-2021-0007;46;16;03/03/2021 5:20
CONS-2021-0008;27;19;20/03/2021 16:26
CONS-2021-0009;36;8;02/04/2021 9:17
CONS-2021-0010;12;49;04/04/2021 12:01
CONS-2021-0011;28;41;14/04/2021 5:19
CONS-2021-0012;24;23;29/04/2021 18:57
CONS-2021-0013;11;5;09/05/2021 20:20
CONS-2021-0014;25;58;22/05/2021 9:23
CONS-2021-0015;42;50;26/05/2021 0:31
CONS-2021-0016;21;92;01/06/2021 15:57
CONS-2021-0017;7;15;15/06/2021 23:44
CONS-2021-0018;44;70;24/06/2021 14:51
CONS-2021-0019;36;98;10/07/2021 17:09
CONS-2021-0020;23;78;22/07/2021 7:59
CONS-2021-0021;15;26;10/08/2021 1:02
CONS-2021-0022;2;93;29/08/2021 10:13
CONS-2021-0023;13;63;03/09/2021 5:30
CONS-2021-0024;9;3;09/09/2021 18:18
CONS-2021-0025;29;42;17/09/2021 8:34
CONS-2021-0026;10;55;01/10/2021 21:38
CONS-2021-0027;49;9;16/10/2021 15:35
CONS-2021-0028;31;71;23/10/2021 22:08
CONS-2021-0029;3;;05/11/2021 5:43
CONS-2021-0030;26;90;23/11/2021 0:29
CONS-2021-0031;27;39;09/12/2021 12:51
CONS-2022-0001;37;65;09/01/2022 16:07
CONS-2022-0002;23;93;20/01/2022 23:45
CONS-2022-0003;47;60;01/02/2022 2:41
CONS-2022-0004;22;42;09/02/2022 16:25
CONS-2022-0005;49;11;13/02/2022 21:23
CONS-2022-0006;50;19;27/02/2022 15:57
CONS-2022-0007;12;84;16/03/2022 20:18
CONS-2022-0008;9;56;01/04/2022 6:15
CONS-2022-0009;19;82;17/04/2022 3:11
CONS-2022-0010;31;47;22/04/2022 18:22
CONS-2022-0011;46;74;10/05/2022 21:46
CONS-2022-0012;47;43;12/05/2022 19:36
CONS-2022-0013;44;44;28/05/2022 11:04
CONS-2022-0014;29;80;09/06/2022 22:55
CONS-2022-0015;32;79;14/06/2022 23:49
CONS-2022-0016;1;27;27/06/2022 5:44
CONS-2022-0017;3;51;06/07/2022 14:34
CONS-2022-0018;;85;13/07/2022 9:18
CONS-2022-0019;2;86;22/07/2022 16:36
CONS-2022-0020;5;37;09/08/2022 18:27
CONS-2022-0021;16;33;10/08/2022 12:58
CONS-2022-0022;26;72;12/08/2022 11:54
CONS-2022-0023;34;61;02/09/2022 14:47
CONS-2022-0024;31;28;10/09/2022 7:42
CONS-2022-0025;27;83;24/09/2022 22:02
CONS-2022-0026;40;6;03/10/2022 15:13
CONS-2022-0027;50;;16/10/2022 16:11
CONS-2022-0028;18;81;21/10/2022 23:21
CONS-2022-0029;28;59;09/11/2022 3:02
CONS-2022-0030;24;93;27/11/2022 13:10
CONS-2022-0031;14;51;21/12/2022 20:43
CONS-2023-0001;16;;09/01/2023 9:44
CONS-2023-0002;49;64;13/01/2023 15:24
CONS-2023-0003;46;11;04/02/2023 12:56
CONS-2023-0004;19;21;26/02/2023 19:10
CONS-2023-0005;11;88;01/03/2023 7:30
CONS-2023-0006;50;97;02/03/2023 19:01
CONS-2023-0007;45;24;06/03/2023 1:35
CONS-2023-0008;24;99;21/03/2023 17:09
CONS-2023-0009;42;84;13/04/2023 23:38
CONS-2023-0010;36;8;25/04/2023 10:39
CONS-2023-0011;;;06/05/2023 13:11
CONS-2023-0012;28;71;18/05/2023 23:10
CONS-2023-0013;44;58;21/05/2023 18:56
CONS-2023-0014;23;26;02/06/2023 4:31
CONS-2023-0015;34;13;02/06/2023 13:43
CONS-2023-0016;47;100;06/07/2023 11:37
CONS-2023-0017;29;76;17/07/2023 20:33
CONS-2023-0018;30;37;29/07/2023 9:06
CONS-2023-0019;3;33;12/08/2023 3:21
CONS-2023-0020;20;19;13/08/2023 14:14
CONS-2023-0021;50;67;14/08/2023 11:56
CONS-2023-0022;25;77;19/08/2023 10:05
CONS-2023-0023;45;84;08/09/2023 17:57
CONS-2023-0024;5;61;18/09/2023 20:11
CONS-2023-0025;51;79;22/09/2023 9:44
CONS-2023-0026;33;74;05/10/2023 8:24
CONS-2023-0027;7;81;22/10/2023 18:39
CONS-2023-0028;32;62;02/11/2023 9:21
CONS-2023-0029;15;4;24/11/2023 2:53
CONS-2023-0030;43;86;02/12/2023 5:56
CONS-2023-0031;8;99;13/12/2023 11:17
CONS-2024-0001;27;96;02/01/2024 1:36
CONS-2024-0002;36;66;09/01/2024 10:52
CONS-2024-0003;46;75;15/01/2024 3:59
CONS-2024-0004;49;15;23/01/2024 6:51
CONS-2024-0005;5;25;28/01/2024 10:30
CONS-2024-0006;37;37;29/01/2024 18:35
CONS-2024-0007;1;10;05/02/2024 3:16
CONS-2024-0008;29;63;06/02/2024 1:40
CONS-2024-0009;48;43;14/02/2024 0:11
CONS-2024-0010;46;83;26/02/2024 21:46
CONS-2024-0011;15;22;03/03/2024 7:57
CONS-2024-0012;17;2;07/03/2024 12:52
CONS-2024-0013;8;21;15/03/2024 0:50
CONS-2024-0014;25;16;24/03/2024 4:35
CONS-2024-0015;7;41;25/03/2024 9:11
CONS-2024-0016;40;56;03/04/2024 12:14
CONS-2024-0017;19;92;08/04/2024 19:08
CONS-2024-0018;31;1;11/04/2024 10:44
CONS-2024-0019;5;14;25/04/2024 13:55
CONS-2024-0020;4;12;05/05/2024 3:26
CONS-2024-0021;45;91;06/05/2024 17:05
CONS-2024-0022;13;4;07/05/2024 0:50
CONS-2024-0023;2;3;08/05/2024 14:29
CONS-2024-0024;6;76;18/05/2024 10:16
CONS-2024-0025;25;43;24/05/2024 20:47
CONS-2024-0026;50;55;03/06/2024 1:46
CONS-2024-0027;8;78;08/06/2024 11:47
CONS-2024-0028;22;68;16/06/2024 2:07
CONS-2024-0029;9;42;19/06/2024 8:06
CONS-2024-0030;51;1;27/06/2024 23:52
CONS-2024-0031;28;28;05/07/2024 0:43
CONS-2024-0032;43;65;11/07/2024 21:39
CONS-2024-0033;47;12;22/07/2024 16:34
CONS-2024-0034;31;66;27/07/2024 4:39
CONS-2024-0035;15;24;02/08/2024 22:55
CONS-2024-0036;23;76;07/08/2024 16:02
CONS-2024-0037;2;73;13/08/2024 8:50
CONS-2024-0038;20;20;26/08/2024 0:27
CONS-2024-0039;29;40;08/09/2024 13:21
CONS-2024-0040;44;50;13/09/2024 3:50
CONS-2024-0041;6;23;22/09/2024 2:55
CONS-2024-0042;5;64;24/09/2024 21:40
CONS-2024-0043;24;;02/10/2024 6:56
CONS-2024-0044;8;86;08/10/2024 23:34
CONS-2024-0045;45;81;10/10/2024 8:25
CONS-2024-0046;49;34;24/10/2024 18:59
CONS-2024-0047;19;17;31/10/2024 17:44
CONS-2024-0048;43;38;02/11/2024 3:51
CONS-2024-0049;25;28;03/11/2024 15:58
CONS-2024-0050;32;29;15/11/2024 18:02
CONS-2024-0051;26;20;02/12/2024 0:46
CONS-2024-0052;34;23;06/12/2024 7:57
CONS-2024-0053;27;59;08/12/2024 23:38
CONS-2024-0054;9;7;25/12/2024 1:47
CONS-2024-0055;44;52;27/12/2024 12:56
CONS-2024-0056;10;1;31/12/2024 21:54
CONS-2024-0057;3;53;31/12/2024 23:12
CONS-2024-0058;23;39;31/12/2024 23:53
CONS-2024-0059;50;37;31/12/2024 23:57
CONS-2024-0060;18;91;31/12/2024 23:59
CONS-2024-0061;42;50;31/12/2024 23:59
CONS-2024-0062;13;5;31/12/2024 23:59
CONS-2024-0063;31;72;31/12/2024 23:59
CONS-2025-0001;29;;03/01/2025 4:01
CONS-2025-0002;7;75;09/01/2025 0:09
CONS-2025-0003;45;83;20/01/2025 21:49
CONS-2025-0004;35;21;28/01/2025 8:19
CONS-2025-0005;34;4;29/01/2025 11:32
CONS-2025-0006;27;28;07/02/2025 14:59
CONS-2025-0007;37;14;21/02/2025 19:27
CONS-2025-0008;33;88;25/02/2025 22:13
CONS-2025-0009;5;85;09/03/2025 10:04
CONS-2025-0010;2;16;14/03/2025 8:36
CONS-2025-0011;16;14;15/03/2025 15:22
CONS-2025-0012;1;20;19/03/2025 11:48
CONS-2025-0013;43;50;31/03/2025 20:11
CONS-2025-0014;35;77;07/04/2025 10:59
CONS-2025-0015;8;99;11/04/2025 7:24
CONS-2025-0016;17;74;11/04/2025 9:32
CONS-2025-0017;42;48;22/04/2025 13:19
CONS-2025-0018;30;73;02/05/2025 1:55
CONS-2025-0019;26;35;06/05/2025 7:55
CONS-2025-0020;23;9;09/05/2025 12:17
CONS-2025-0021;25;3;21/05/2025 18:46
CONS-2025-0022;34;97;05/06/2025 19:41
CONS-2025-0023;3;46;09/06/2025 15:08
CONS-2025-0024;47;17;12/06/2025 10:05
CONS-2025-0025;51;25;26/06/2025 21:07
CONS-2025-0026;37;11;01/07/2025 0:55
CONS-2025-0027;48;86;07/07/2025 14:06
CONS-2025-0028;38;29;08/07/2025 9:38
CONS-2025-0029;10;80;12/07/2025 23:23
CONS-2025-0030;15;92;16/07/2025 6:30
CONS-2025-0031;40;64;26/07/2025 21:57
CONS-2025-0032;27;2;05/08/2025 2:31
CONS-2025-0033;14;82;18/08/2025 16:30
CONS-2025-0034;45;71;21/08/2025 3:35
CONS-2025-0035;49;43;28/08/2025 11:39
CONS-2025-0036;2;91;04/09/2025 14:52
CONS-2025-0037;34;72;06/09/2025 20:46
CONS-2025-0038;46;5;10/09/2025 12:58
CONS-2025-0039;11;45;28/09/2025 9:04
CONS-2025-0040;28;67;03/10/2025 12:11
CONS-2025-0041;39;64;07/10/2025 14:48
CONS-2025-0042;22;8;16/10/2025 6:31
CONS-2025-0043;12;78;27/10/2025 2:00
CONS-2025-0044;;37;01/11/2025 23:37
CONS-2025-0045;20;46;07/11/2025 5:33
CONS-2025-0046;;4;25/11/2025 22:14
CONS-2025-0047;32;86;02/12/2025 10:48
CONS-2025-0048;41;40;08/12/2025 3:14
CONS-2025-0049;11;84;15/12/2025 1:49
CONS-2025-0050;29;;20/12/2025 23:20
CONS-2025-0051;15;17;23/12/2025 7:33
CONS-2025-0052;43;31;28/12/2025 15:49
CONS-2025-0053;46;22;29/12/2025 4:54
CONS-2025-0054;5;80;29/12/2025 21:02
CONS-2025-0055;24;94;30/12/2025 2:18
CONS-2025-0056;33;26;30/12/2025 11:16
CONS-2025-0057;30;13;31/12/2025 6:37
CONS-2025-0058;36;39;31/12/2025 10:50
CONS-2025-0059;50;87;31/12/2025 22:22
CONS-2025-0060;23;32;31/12/2025 22:45
CONS-2025-0061;14;46;31/12/2025 23:03
CONS-2025-0062;13;92;31/12/2025 23:36
CONS-2025-0063;47;79;31/12/2025 23:57
CONS-2025-0064;9;81;31/12/2025 23:58
CONS-2025-0065;28;20;31/12/2025 23:58
CONS-2025-0066;4;55;31/12/2025 23:59
CONS-2025-0067;8;33;31/12/2025 23:59
CONS-2025-0068;27;52;31/12/2025 23:59
CONS-2025-0069;19;82;31/12/2025 23:59
